pose_name,left_elbow,right_elbow,left_knee,right_knee,left_hip,right_hip,left_shoulder,right_shoulder,spine,torso_vertical,arms_spread
urdhva hastasana,83.44187640972095,64.80838618381564,74.91246169238744,94.7330323027241,155.75034427103918,15.799354830950511,80.28538904106254,53.23246897900077,140.02351020076205,26.49611741887195,93.67047725955331
urdhva mukha svanasana,39.074550304163125,109.69915840883509,46.063828650865304,65.06023518351981,155.8089900715166,173.4880086643895,145.34822389899307,70.96614740208949,173.22551695103354,41.03453970544731,140.98926426212302
ustrasana,95.81736254921128,66.69206415225987,108.21743160957438,36.32991221494729,37.924150652051694,158.95135956687312,82.6381515860963,62.30460211951076,87.69054869423809,3.6603173933629316,80.83537692369221
utkatasana,63.46380177245446,59.29885192727165,78.18624926983043,141.61269102338906,161.20097844586377,13.632388751231453,98.28470055066747,78.70713470696495,152.25062090599857,33.48743856809581,102.90705007395631
uttanasana,114.57749348926289,73.01580191213812,90.29074007665734,70.54088377017766,179.0991673204155,2.4345503932242716,63.90525362882545,91.8976480813427,26.896996720080885,12.190230351725011,5.162276844945075
utthita ashwa sanchalanasana,89.55729571416954,84.55158464746928,86.29721167895362,77.40885962804985,163.22741036418458,6.26023267565651,77.34104972088663,75.68486691414695,177.0872256961069,51.162513845759136,127.20827529091818
utthita parsvakonasana,97.31823564456757,9.436973720451332,53.43858918209572,3.135842274615417,142.30908641459348,10.44403458725791,53.0321961358722,8.688759197690002,90.4641725781512,146.94358457773652,95.47665715355811
utthita trikonasana,164.919220304305,6.73251974247575,84.22988756487132,2.6637487015890358,166.69708248701306,3.4772329095979684,7.341787169278492,2.1487186579297957,125.43679407848029,81.11655932209288,20.66909272879974
vasisthasana,141.624219191763,16.410094051456504,93.3416751626077,16.015635293563513,134.17929722801108,24.658012800710868,13.235616922355227,121.090293577999,153.91984457939452,25.900263837480917,141.84057337090175
virabhadrasana i,113.8194881797269,27.796060907389293,85.45434035467183,21.70868726134518,167.95910414145442,4.473259077355642,57.55586268557612,23.787274311018972,123.2954053579549,112.81783313226536,115.51998887690057
virabhadrasana ii,75.64934973310339,21.123552399173708,49.189850406305474,0.1381507364072657,99.02965655634479,22.521487888600006,48.246299761524575,23.20339869358278,83.62189217487258,127.23053372895801,88.95889205686102
vriksasana,66.27110936852837,31.817453860602395,28.478965968181548,7.021790042650121,104.32283834922458,23.97027029441472,64.68195723760239,28.795874206020034,142.80100747225094,86.20781703375866,80.21911237663714
