pose_name,left_elbow,right_elbow,left_knee,right_knee,left_hip,right_hip,left_shoulder,right_shoulder,spine,torso_vertical,arms_spread
adho mukha svanasana,81.43014105426445,87.78406741034844,16.959761023402734,84.85215492617546,171.41232360841124,7.790017137794112,93.49266522983045,71.19400891635668,55.04946189929001,17.830944653030247,26.359024302617982
anjaneyasana,47.4110806234073,60.08438675434996,85.39094285311914,13.238783326340007,152.23228576766897,31.039499849004855,114.55593603564078,30.43468176942264,126.83415288790911,114.99318038929255,129.48786472978412
ardha chandrasana,163.97455114461724,26.099806607929903,168.62530621504024,1.9532306109161846,172.24416151927275,11.172864014185503,13.88160574825141,45.44484054657332,13.489817775980459,8.07657329824503,0.979027248639322
ardha matsyendrasana,61.06337563246611,41.842707542480305,42.67861725509543,88.72575277169938,0.752139846045498,158.1636451668837,44.126772387483804,63.883713190604276,72.20668034412876,127.15715068438975,51.36327029353034
ardha uttanasana,87.36657291304327,14.599437079303923,112.69454734095318,65.32140390788273,179.81412007782527,105.72914418288507,93.95084453701894,31.084859625947438,12.896356241061799,2.7899168359771265,42.58822781573231
ashtanga namaskara,114.70309105714693,3.145607448212181,63.223732100764025,25.200156916629673,10.339438136391816,168.48215981253824,48.16850988099299,156.07203705241673,97.01199914568012,10.506464136329235,43.344655165573705
baddha konasana,18.3791112948078,19.45814341718936,33.80900529652515,21.674203018361464,15.549913514899488,49.97935055367463,13.205379489378206,19.258391975784384,61.165929949179585,150.50437910612186,24.89827403951902
balasana,67.48156590772899,96.86997822693097,81.07707876802436,42.564856493263534,60.76439935271756,13.62840687377404,94.6498986011151,44.06255522476534,130.53878340948478,9.460125371814211,22.498249903227258
bhujangasana,49.87977038925965,104.60204015448295,11.841278205975572,82.40917031711496,64.33676096755715,154.65372363371387,97.20572805722311,52.25309820571818,153.81191753681674,87.85834661906976,111.76211986459641
bitilasana,95.86357353537502,118.22963898960806,26.063674891578316,112.6822113582157,16.909725141129638,174.4986134402649,78.70145959954309,54.171689632028546,58.45479927516766,7.6005639535500835,79.96816275293938
chaturanga dandasana,98.89672155763304,8.851060379493923,91.14520917635033,66.00842470137606,156.74650083993464,123.94360149908202,64.93424390056943,60.56552923375742,75.53818487295584,10.348254743651477,57.035328235398104
dandasana,52.17004814626621,85.05688305630957,44.0686718325721,69.78959806669315,82.57026560231465,171.21086857274523,55.91669512549628,76.37581577128832,123.12059974198954,94.34040047106149,126.85462216680908
dhanurasana,10.538916632912043,111.13181011172982,81.29730266700307,62.65266839309381,176.8660463503121,14.564707276995131,167.52428078076997,30.285348723810337,53.76450037835208,159.0781401816474,27.541559123195988
eka pada rajakapotasana,100.62796346900592,13.473533730712466,23.779036677112416,27.1369144657476,19.01576511728964,3.8487550793458087,75.84989312418539,21.902426848625236,83.49264174446667,147.60087531003143,130.58154484154204
garudasana,70.43816918317358,79.24242977108172,54.71684361396592,118.05568140645757,123.40484077959066,169.11813127348503,65.77372698878595,81.64128330405961,160.84858313297585,50.63146885246435,83.57135647714351
janu sirsasana,70.31525362619067,5.977015112942191,6.845485575047454,26.94400829863195,76.85832274059236,19.468859922425406,68.0813186795847,5.250546885565163,13.017142406088277,172.2831570201373,75.2833760666674
malasana,59.72447065695687,27.781026434748128,53.20921721057186,38.28096370035103,2.3211473975273846,66.27049350596185,49.70383872479083,29.656619955748702,53.53360922149089,147.41959991832573,53.156349601583855
marjaryasana,85.49099571226219,84.34903817194319,24.8633923272064,119.14606655237282,4.142481619724284,27.572974656731912,98.52486298905612,92.82541409966431,3.4533940833749917,16.086788304970813,75.86069268655666
matsyasana,71.7777770128183,44.201940033769134,8.04961872151086,92.12743804575352,59.43307024969085,32.52012631751872,51.21136358595619,143.5688690221306,3.4082791239461563,79.63977649154255,145.58980521388818
padmasana,39.864852171216896,25.372286134620456,8.768093503242397,137.83059905880592,23.86509991793087,70.229599319418,34.29247494948832,25.888952496813943,73.62431936212974,126.7684943927035,104.03503716571022
paschimottanasana,126.45918497499757,9.46850224549486,23.96611840723006,81.42856778437253,98.70847320631911,85.2424475727888,24.86173861007978,157.27639424107585,133.4141768556634,3.713596863131186,125.07872088092961
phalakasana,16.117547162632555,126.33196104413872,36.61579827541384,48.26625419057601,174.48200299421626,117.3033705089216,155.26175991997982,31.701433450857696,53.6544483023719,2.217814230676611,73.95624696190711
prasarita padottanasana,73.08485202589858,19.637002242599063,47.0082139110634,0.928071953951308,112.08172799045762,18.28650240896149,66.84769909698298,19.531279433014284,28.246373253507368,145.4965548419051,28.8671861972192
salabhasana,33.53265813883699,157.097361214699,69.35102565848871,153.70554765905754,135.10360235651942,149.29180070318162,98.64553487946085,15.403905676680443,92.84657975642598,170.2108463477594,57.824622345850514
savasana,15.107123177496824,30.227021079953666,42.23795305499742,7.880989006567459,41.12823289581766,115.83273409407182,20.88804805399006,113.43068677857732,81.30452115860312,137.08860739171337,154.51249672190596
setu bandha sarvangasana,6.494470670170856,37.669946662367266,87.94515843110113,36.866243469628934,4.9461188212383345,169.87797196213532,168.60198517941646,102.39463915803736,144.44598142717476,178.39470948664882,143.44643662152407
sukhasana,18.833318073959866,25.965004854100247,16.445263483210685,138.4909061519812,30.179066238679354,69.79896953483082,14.396077505901898,25.023085699842916,66.69538985868921,133.22708551201129,81.13446577272433
tadasana,74.41505608118936,55.773828940478865,57.04871261630195,38.3611963821265,126.75582170930704,96.13419226495756,71.96283912175939,53.29303603113206,173.20586190830082,49.75091523726068,82.39011616860775
