label,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,y0,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15,y16
adho mukha svanasana,0.632275104117647,0.5049889045588235,0.6345942029411764,0.5072899197058823,0.6353252376470588,0.5052979844117647,0.5975484710294117,0.5115296589705882,0.5971333683823529,0.5050277125,0.5334522120588234,0.516555479117647,0.5311728136764706,0.4985491227941176,0.6518096786764707,0.5209922832352941,0.6542254754411765,0.5071466777941176,0.734883784117647,0.5226660136176471,0.7385177654411764,0.5179574667647059,0.3073215779411765,0.4940778579411764,0.3065720488235294,0.48212384117647056,0.5241824469117647,0.4868055747058823,0.4987382697058824,0.4740161251470589,0.6957602575,0.4931817951176471,0.6407146283823529,0.4575562589705882
anjaneyasana,0.25494851621875,0.50805259,0.246603872796875,0.5101800183796875,0.247659328296875,0.507415378265625,0.27991626478125,0.51190339071875,0.285942698125,0.5120596786875,0.37639098,0.5231242540625,0.37756872546875,0.50033038203125,0.32706113640625,0.540851158671875,0.326270856953125,0.515779616875,0.27812151528125,0.55264253584375,0.287678314109375,0.523311531328125,0.672555993125,0.5075920135937501,0.6684142843750001,0.4828021015625,0.7476023615625,0.568872197421875,0.72048683234375,0.406816340828125,0.8549432934375,0.6245697775,0.8584973765625,0.373059860046875
ardha chandrasana,0.46302794461538466,0.46536927023076924,0.4635797275,0.46532254803846157,0.46506560442307693,0.4641674005192308,0.46724732365384614,0.46716620865384617,0.47086599826923076,0.46833642999999997,0.44636294538461535,0.4710426321153846,0.4722357926923077,0.48540592865384613,0.43066622442307695,0.4846471164423077,0.4959985853846154,0.4792190434615385,0.4433108453076923,0.4851390039423077,0.5261372906538462,0.47908190740384615,0.4014296198076923,0.5004574444230769,0.4112994011538461,0.4975826778846154,0.4878950682692308,0.5491031678846153,0.5317838961538461,0.4537069088461539,0.6072580285192308,0.5874714418076923,0.6797503435384615,0.40003877401923077
ardha matsyendrasana,0.18278665933333332,0.4623356112222222,0.15231144267777777,0.48267355266666667,0.15201777906666666,0.4527338676666667,0.17362134093333334,0.5188725748888889,0.17053898483333332,0.4509177755555555,0.34571582844444443,0.6072067807333333,0.3445265155555556,0.36413600488888886,0.5583345871111111,0.6790344536666667,0.5700115862222223,0.2940768252777778,0.6466270694444444,0.6806317776666667,0.6823106255555555,0.28417972436666666,0.7731401175555555,0.5570386111111111,0.7713314238888889,0.4119008522222222,0.6559813404444444,0.599365381,0.6148831555555555,0.46870348,0.8574547629999999,0.44812903972222223,0.8450136108888889,0.6062959925222222
ardha uttanasana,0.35998574742424244,0.5509371994090909,0.3362422471969697,0.5598697336666667,0.33544388318181817,0.5529828686818181,0.2817238893333333,0.5613211168181819,0.27730070834848486,0.5457408912121212,0.2922942333333333,0.5286413856060606,0.28851325901515157,0.5083168695454546,0.507714901969697,0.5237841009090909,0.5014147763333333,0.49707539045454546,0.6863756874242425,0.5204309275,0.6842223467121212,0.4932512316666667,0.1508587605,0.4347326048787879,0.15082285784848487,0.4026379087424243,0.5246256733333333,0.4389316286363636,0.5268487363636364,0.4189207754545455,0.8574223530303031,0.44781361848484846,0.8650374704545455,0.4274231074242424
ashtanga namaskara,0.5773465754545455,0.4449868142424242,0.560219413030303,0.4456156737818182,0.5609405021212122,0.44086540276969693,0.5379499966666668,0.4546251626060606,0.5365761793939394,0.4416088322424242,0.5372792478787878,0.47472886554545457,0.5350544621212121,0.44667716615151515,0.4902072836363636,0.4891417196969696,0.49451074696969693,0.4402405804848485,0.5951017809090909,0.4711839754545455,0.6004925090909091,0.4445058915757576,0.4170639203030303,0.5189335990909091,0.42494828242424243,0.4985374454545455,0.5705156536363637,0.55544525,0.5761234363636363,0.5268569312424243,0.5079235890909092,0.5997767361818181,0.5112045606060606,0.561363367939394
baddha konasana,0.32468334771428575,0.5204533407142857,0.3136717892857143,0.5397972988,0.31147683985714286,0.5068328972857143,0.3352899248571429,0.5606039900714285,0.3308459908571429,0.48797722771428576,0.423821904,0.5978471064285714,0.41711856914285717,0.43036450242857144,0.5761391627142858,0.6008793462857143,0.5625034565714285,0.4210379837142857,0.6811401314285714,0.5664040041428572,0.6646055645714285,0.4516491899285714,0.6156445504285715,0.5388922391428571,0.6102452662857143,0.4428371974285714,0.5939511941428571,0.6717288891428571,0.584413542,0.2645700510857143,0.6994750135714286,0.5060140080714286,0.697450391,0.44014434314285716
balasana,0.5763397770422536,0.48046134225352105,0.5734865095774648,0.4792079590140845,0.5742312077464788,0.4752102945070422,0.530097257887324,0.48317516577464786,0.532912583943662,0.47862827676056335,0.48118300183098595,0.5117009557746479,0.4821320888732394,0.4817371343661972,0.5694560488732395,0.48466991239436624,0.5649917123943662,0.46599801028169013,0.5907175687323943,0.44837830901408454,0.5828902208450704,0.4420355498591549,0.44899981845070425,0.571821823943662,0.44602738647887324,0.5420645497183099,0.5728551366197183,0.5308096725352113,0.577823686056338,0.5118612849295775,0.570674082112676,0.5793862350704225,0.563538563943662,0.5533275567746478
bhujangasana,0.27477987693150685,0.5244506201917808,0.266910173369863,0.524815989328767,0.26813835027397265,0.5190284904383561,0.3031125335616438,0.52499711130137,0.3066619180821918,0.5136903737123287,0.4014725817808219,0.5324444946575343,0.3988311676712329,0.5129177313698631,0.5829087906849315,0.5350541085479452,0.5807395878082192,0.502197402739726,0.7170745306849314,0.5286678620273972,0.7153052493150684,0.5075883540273973,0.6354883557534247,0.5158588736986301,0.6325747768493151,0.5046049576712329,0.6775856642465754,0.5094124516438355,0.6748670519178082,0.48056141150684933,0.6725214538356165,0.4970034484931507,0.6705880412328767,0.44705339431506846
bitilasana,0.30063523942528736,0.5922679630965517,0.28522853942528736,0.592342975883908,0.286424510229885,0.5918782120839081,0.2888868437931035,0.5843093227931034,0.29073468183908047,0.5834076449770115,0.35906960965517243,0.561184703724138,0.36004489344827584,0.5759985120689655,0.584900269770115,0.5680159616551724,0.5910828102298851,0.581911969770115,0.7610929277011494,0.5727145376321839,0.7756717326436783,0.5923116777011495,0.44564993850574713,0.49066399310344827,0.4464047164367816,0.48721212448275864,0.7524554625287356,0.48713005103448276,0.7584746318390805,0.48108416252873565,0.7227347459770115,0.42847367154022986,0.729777965862069,0.3915810296896552
